# integrated x-directed force on top, bottom and both walls (N) 
# mesh, top, bottom, both walls
coarse     2.2138034e+02  5.4025570e+01  2.7540591e+02
medium     2.4975181e+02  5.4070145e+01  3.0382196e+02
fine       2.5528092e+02  5.3913150e+01  3.0919407e+02
ultrafine  2.5691242e+02  5.3807468e+01  3.1071989e+02

  
